id,key,key2,key3,value
1,group,genderandsexuality,women,1
1,issue,particular,healthcare_health,1
1,group,culturalminorities,racialminorities,1
2,issue,particular,work,1
2,issue,particular,crime_criminaljustice,1
2,issue,general,prejudiceanddiscrimination_general,1
2,group,culturalminorities,racialminorities,1
3,issue,general,prejudiceanddiscrimination_general,1
3,issue,particular,healthcare_health,1
3,group,culturalminorities,racialminorities,1
4,group,culturalminorities,racialminorities,1
4,group,healthstatus,peoplewithdisabilitiesorchronichealthconditions,1
4,group,age,youngpeople,1
5,issue,particular,violence,1
5,issue,particular,crime_criminaljustice,1
5,issue,general,prejudiceanddiscrimination_general,1
5,group,culturalminorities,racialminorities,1
6,issue,particular,violence,1
6,group,culturalminorities,racialminorities,1
6,issue,particular,familyrelations,1
6,issue,particular,shelter,1
7,group,culturalminorities,firstnations,1
7,issue,particular,violence,1
7,issue,particular,crime_criminaljustice,1
7,group,culturalminorities,racialminorities,1
8,group,culturalminorities,firstnations,1
8,issue,general,prejudiceanddiscrimination_general,1
8,group,culturalminorities,racialminorities,1
9,group,culturalminorities,firstnations,1
9,issue,general,prejudiceanddiscrimination_general,1
9,group,culturalminorities,racialminorities,1
9,issue,particular,voice,1
10,group,culturalminorities,firstnations,1
10,issue,particular,crime_criminaljustice,1
10,group,culturalminorities,racialminorities,1
11,group,culturalminorities,firstnations,1
11,issue,general,prejudiceanddiscrimination_general,1
11,group,culturalminorities,racialminorities,1
12,group,culturalminorities,firstnations,1
12,issue,particular,violence,1
12,group,genderandsexuality,women,1
12,group,culturalminorities,racialminorities,1
12,issue,general,inequality,1
13,group,culturalminorities,firstnations,1
13,issue,particular,crime_criminaljustice,1
13,issue,general,prejudiceanddiscrimination_general,1
13,group,culturalminorities,racialminorities,1
14,group,culturalminorities,firstnations,1
14,issue,particular,violence,1
14,group,genderandsexuality,women,1
14,group,culturalminorities,racialminorities,1
15,group,culturalminorities,firstnations,1
15,issue,particular,crime_criminaljustice,1
15,issue,general,prejudiceanddiscrimination_general,1
15,group,culturalminorities,racialminorities,1
15,issue,particular,voice,1
16,issue,particular,violence,1
16,issue,particular,crime_criminaljustice,1
16,group,culturalminorities,racialminorities,1
16,group,age,youngpeople,1
17,group,culturalminorities,racialminorities,1
17,issue,general,inequality,1
